DATE,TIME,CLASS_OF_ACCIDENT,IMPACT_TYPE,ENVIRONMENT,LIGHT,ROAD_SURFACE_CONDITION,TRAFFIC_CONTROL_CONDITION,NO_OF_PEDESTRIANS,X,Y,Highway,Month,categorical_TRAFFIC_CONTROL_01,categorical_TRAFFIC_CONTROL_02,categorical_TRAFFIC_CONTROL_03,categorical_TRAFFIC_CONTROL_04,categorical_TRAFFIC_CONTROL_07,categorical_TRAFFIC_CONTROL_08,categorical_TRAFFIC_CONTROL_09,categorical_TRAFFIC_CONTROL_11,categorical_ACCIDENT_LOCATION_01,categorical_ACCIDENT_LOCATION_02,categorical_ACCIDENT_LOCATION_03,categorical_ACCIDENT_LOCATION_04,categorical_ACCIDENT_LOCATION_05,categorical_ACCIDENT_LOCATION_06,categorical_ACCIDENT_LOCATION_07,categorical_Seasons_Fall,categorical_Seasons_Spring,categorical_Seasons_Summer,categorical_Seasons_Winter
2018-11-24,06:31:00,03,07,01,07,01,,0,341711.2053,5018025.968,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-25,03:43:00,03,04,04,07,02,,0,368942.5575,5030694.142,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-25,06:30:00,03,07,02,07,04,,0,385671.4225,5024498.085,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-26,06:15:00,03,04,07,07,02,00,0,370802.201,5031016.024,True,November,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2018-11-26,07:50:00,03,03,03,01,02,,0,368745.1229,5030615.727,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-26,08:10:00,02,03,01,01,01,,0,375969.4477,5028329.151000001,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-26,08:15:00,03,03,01,01,01,,0,370768.251,5031387.713,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-26,17:43:00,03,03,01,07,01,,0,364837.4715,5028182.411,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-11-26,18:15:00,03,03,02,07,02,,0,363508.8371,5026291.695,True,November,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2018-12-11,07:26:00,03,03,01,03,00,,0,371027.6396,5031295.463,True,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
